time,timestamp,local_x,local_y,local_angle,current_task_id,latitude,longitude,altitude
2024-07-12 19:00:30:631,1720782030631,-0.18954216906635313,0.14351540688976602,91.00000000000001,-1,31.28557929610001,121.6295697164,4.126999855041504
2024-07-12 19:00:30:711,1720782030711,-0.18951360715617138,0.1435264947610852,91.00000000000001,-1,31.28557929600001,121.62956971610004,4.126999855041504
2024-07-12 19:00:30:811,1720782030811,-0.18947551947098787,0.1435264947959549,91.00000000000001,-1,31.28557929600001,121.62956971570003,4.125999927520752
2024-07-12 19:00:30:936,1720782030936,-0.18950408160106033,0.14339344520155126,91.00000000000001,-1,31.2855792972,121.62956971599999,4.125999927520752
2024-07-12 19:00:31:019,1720782031019,-0.18927555284034506,0.14098747116276905,91.00000000000001,-1,31.285579318900005,121.6295697136,4.126999855041504
2024-07-12 19:00:31:107,1720782031107,-0.18862804250340695,0.1293900114072996,91.00000000000001,-1,31.28557942350001,121.6295697068,4.126999855041504
2024-07-12 19:00:31:207,1720782031207,-0.18707595097440666,0.11314691744438471,92.00000000000006,-1,31.28557957000001,121.62956969050003,4.126999855041504
2024-07-12 19:00:31:316,1720782031316,-0.18485730970698747,0.08896521892384415,92.00000000000006,-1,31.28557978810001,121.62956966720003,4.125999927520752
2024-07-12 19:00:31:443,1720782031443,-0.1810199393989938,0.057221890798624615,92.00000000000006,-1,31.285580074400002,121.62956962690004,4.125
2024-07-12 19:18:38:122,1720783118122,0.0031422228999808885,-0.005909597173121511,91.00000000000001,-1,31.2855743242,121.6296015703,3.433000087738037
2024-07-12 19:18:38:221,1720783118221,0.0033612248019954907,-0.0057987228195448375,91.00000000000001,-1,31.28557432320001,121.629601568,3.433000087738037
2024-07-12 19:18:38:453,1720783118453,0.003494530573927381,-0.00573219652890818,91.00000000000001,-1,31.2855743226,121.6296015666,3.433000087738037
2024-07-12 19:18:38:455,1720783118455,0.0036659253490247843,-0.0062976564539854495,91.00000000000001,-1,31.285574327700004,121.6296015648,3.434000015258789
2024-07-12 19:18:38:519,1720783118519,0.004103945287445508,-0.012617495198852576,91.00000000000001,-1,31.2855743847,121.6296015602,3.434000015258789
2024-07-12 19:18:38:650,1720783118650,0.005313255745539778,-0.027286173432876357,91.00000000000001,-1,31.285574517,121.62960154749999,3.434000015258789
2024-07-12 19:18:38:959,1720783118959,0.006303561870733953,-0.04300815927443973,91.00000000000001,-1,31.2855746588,121.62960153710003,3.434999942779541
2024-07-12 19:18:38:961,1720783118961,0.007627150278138531,-0.06307642044718437,91.00000000000001,-1,31.285574839800006,121.6296015232,3.434999942779541
2024-07-12 19:18:38:965,1720783118965,0.008465118972154625,-0.08286749638551685,92.00000000000006,-1,31.28557501830001,121.62960151440001,3.436000108718872
2024-07-12 19:18:39:075,1720783119075,0.010093413471464507,-0.10802489064686485,92.00000000000006,-1,31.285575245200008,121.62960149730003,3.436000108718872
2024-07-12 19:18:39:182,1720783119182,0.011083737395073661,-0.12917972038139006,92.00000000000006,-1,31.285575436000002,121.62960148690001,3.436000108718872
2024-07-12 19:18:39:444,1720783119444,0.012521598439658967,-0.15522411013595405,92.00000000000006,-1,31.285575670900002,121.62960147180002,3.437000036239624
2024-07-12 19:18:39:445,1720783119445,0.01394041474546838,-0.1796497349039783,92.00000000000006,-1,31.28557589120001,121.62960145689999,3.437000036239624
2024-07-12 19:18:39:446,1720783119446,0.014407038103637217,-0.20350990049044634,92.00000000000006,-1,31.2855761064,121.62960145200003,3.436000108718872
2024-07-12 19:18:39:535,1720783119535,0.016825665371383358,-0.2349649588306256,92.00000000000006,-1,31.285576390100005,121.6296014266,3.436000108718872
2024-07-12 19:18:39:618,1720783119618,0.01881580752385946,-0.26616500620329003,92.00000000000006,-1,31.28557667150001,121.62960140569999,3.436000108718872
2024-07-12 19:18:39:721,1720783119721,0.019977530112006023,-0.29138892551151085,92.00000000000006,-1,31.285576899000006,121.62960139350002,3.436000108718872
2024-07-12 19:18:39:961,1720783119961,0.02201527079019457,-0.31834248419803224,93.00000000000004,-1,31.28557714210001,121.62960137210001,3.436000108718872
